Country/Region code,Country/Region name,Local authority code,Local authority name,year,median_gross_annual_earnings,price_to_earnings_ratio
E12000006,East of England,E07000143,Breckland,2018,"26,041",8.58
E12000006,East of England,E07000144,Broadland,2018,"29,091",8.46
E12000006,East of England,E07000145,Great Yarmouth,2018,"25,175",6.83
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2018,"27,216",7.72
E12000006,East of England,E07000147,North Norfolk,2018,"24,529",10.03
E12000006,East of England,E07000148,Norwich,2018,"25,247",7.55
E12000006,East of England,E07000149,South Norfolk,2018,"30,903",8.12
E12000006,East of England,E07000200,Babergh,2018,"29,634",9.28
E12000006,East of England,E07000202,Ipswich,2018,"26,941",7.05
E12000006,East of England,E07000203,Mid Suffolk,2018,"27,479",9.64
E12000006,East of England,E07000244,East Suffolk,2018,"27,325",8.60
E12000006,East of England,E07000245,West Suffolk,2018,"28,558",8.68
E12000006,East of England,E06000031,Peterborough,2019,"27,235",7.16
E12000006,East of England,E07000008,Cambridge,2019,"34,275",12.69
E12000006,East of England,E07000009,East Cambridgeshire,2019,"32,182",9.01
E12000006,East of England,E07000010,Fenland,2019,"27,935",6.80
E12000006,East of England,E07000011,Huntingdonshire,2019,"31,699",8.68
E12000006,East of England,E07000012,South Cambridgeshire,2019,"40,052",9.11
E12000006,East of England,E07000067,Braintree,2019,"33,681",8.61
E12000006,East of England,E07000071,Colchester,2019,"31,091",8.78
E12000006,East of England,E07000076,Tendring,2019,"28,786",8.28
E12000006,East of England,E07000077,Uttlesford,2019,"36,002",11.60
E12000006,East of England,E07000095,Broxbourne,2019,"33,300",10.51
E12000006,East of England,E07000143,Breckland,2019,"26,208",8.32
E12000006,East of England,E07000144,Broadland,2019,"30,717",8.30
E12000006,East of England,E07000145,Great Yarmouth,2019,"25,942",6.94
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2019,"27,430",8.02
E12000006,East of England,E07000147,North Norfolk,2019,"25,724",9.72
E12000006,East of England,E07000148,Norwich,2019,"26,812",7.16
E12000006,East of England,E07000149,South Norfolk,2019,"30,393",8.55
E12000006,East of England,E07000200,Babergh,2019,"31,581",8.87
E12000006,East of England,E07000202,Ipswich,2019,"28,353",7.05
E12000006,East of England,E07000203,Mid Suffolk,2019,"29,480",8.82
E12000006,East of England,E07000244,East Suffolk,2019,"29,687",7.95
